source,raw_id,true_customer_id
erp,ERP-0000,TRUE-0000
flatfile,FLATFILE-0001,TRUE-0001
erp,ERP-0001,TRUE-0001
partner_api,PARTNER_API-0001,TRUE-0001
crm,CRM-0001,TRUE-0001
crm,CRM-0002,TRUE-0002
partner_api,PARTNER_API-0002,TRUE-0002
flatfile,FLATFILE-0002,TRUE-0002
partner_api,PARTNER_API-0003,TRUE-0003
flatfile,FLATFILE-0003,TRUE-0003
crm,CRM-0003,TRUE-0003
erp,ERP-0003,TRUE-0003
crm,CRM-0004,TRUE-0004
partner_api,PARTNER_API-0004,TRUE-0004
erp,ERP-0004,TRUE-0004
flatfile,FLATFILE-0004,TRUE-0004
crm,CRM-0005,TRUE-0005
flatfile,FLATFILE-0005,TRUE-0005
erp,ERP-0006,TRUE-0006
flatfile,FLATFILE-0006,TRUE-0006
partner_api,PARTNER_API-0006,TRUE-0006
erp,ERP-0007,TRUE-0007
flatfile,FLATFILE-0007,TRUE-0007
partner_api,PARTNER_API-0007,TRUE-0007
crm,CRM-0007,TRUE-0007
partner_api,PARTNER_API-0008,TRUE-0008
crm,CRM-0008,TRUE-0008
flatfile,FLATFILE-0008,TRUE-0008
partner_api,PARTNER_API-0009,TRUE-0009
erp,ERP-0009,TRUE-0009
erp,ERP-0010,TRUE-0010
partner_api,PARTNER_API-0011,TRUE-0011
flatfile,FLATFILE-0011,TRUE-0011
partner_api,PARTNER_API-0012,TRUE-0012
crm,CRM-0012,TRUE-0012
erp,ERP-0012,TRUE-0012
flatfile,FLATFILE-0013,TRUE-0013
crm,CRM-0014,TRUE-0014
partner_api,PARTNER_API-0014,TRUE-0014
erp,ERP-0014,TRUE-0014
flatfile,FLATFILE-0014,TRUE-0014
partner_api,PARTNER_API-0015,TRUE-0015
flatfile,FLATFILE-0016,TRUE-0016
partner_api,PARTNER_API-0017,TRUE-0017
flatfile,FLATFILE-0017,TRUE-0017
erp,ERP-0017,TRUE-0017
erp,ERP-0018,TRUE-0018
crm,CRM-0018,TRUE-0018
flatfile,FLATFILE-0018,TRUE-0018
partner_api,PARTNER_API-0018,TRUE-0018
partner_api,PARTNER_API-0019,TRUE-0019
crm,CRM-0019,TRUE-0019
partner_api,PARTNER_API-0020,TRUE-0020
crm,CRM-0020,TRUE-0020
flatfile,FLATFILE-0020,TRUE-0020
erp,ERP-0020,TRUE-0020
erp,ERP-0021,TRUE-0021
flatfile,FLATFILE-0022,TRUE-0022
erp,ERP-0022,TRUE-0022
crm,CRM-0022,TRUE-0022
partner_api,PARTNER_API-0022,TRUE-0022
partner_api,PARTNER_API-0023,TRUE-0023
flatfile,FLATFILE-0023,TRUE-0023
